weight,height,color,no_of_wheels
1353,113,yellow,2
2453,172,yellow,4
1226,133,black,4
1666,139,red,4
1266,190,black,4
2234,192,green,4
2446,176,white,4
2854,146,black,4
2290,140,blue,4
2760,137,black,4
2186,94,white,4
1140,142,yellow,4
1882,187,white,4
2115,126,red,4
1452,184,green,2
1923,100,blue,4
2258,144,green,4
1526,185,black,4
1675,131,white,4
1814,80,black,4
2804,155,green,4
1809,116,white,4
2270,147,blue,4
2293,136,yellow,4
2015,159,yellow,4
2660,196,white,4
1530,89,red,4
1150,178,blue,4
1891,126,green,4
1009,180,blue,4
1725,98,blue,4
1242,157,blue,2
2876,173,white,4
2734,189,blue,4
2475,178,green,4
2401,102,white,4
1850,110,red,4
2076,99,blue,4
2018,118,yellow,4
1346,180,blue,4
1517,116,white,4
2358,141,green,4
2559,116,red,4
2157,174,yellow,4
2278,116,red,4
2157,200,yellow,4
2928,183,red,4
2332,176,white,4
1617,124,blue,4
1237,95,blue,2
2884,196,red,4
2025,85,green,4
1775,169,white,4
2641,93,yellow,4
1225,81,blue,2
1897,163,blue,4
1403,196,yellow,4
2614,103,yellow,4
1670,129,yellow,4
1865,188,white,4
2627,119,yellow,4
1588,156,black,4
1342,118,green,4
1602,95,black,4
1889,123,black,4
1476,147,blue,2
1154,102,yellow,4
2561,167,yellow,4
2957,112,yellow,4
2509,165,white,4
2783,184,black,4
1931,129,white,4
2834,155,white,4
1053,196,red,4
1837,177,yellow,4
2400,128,white,4
1554,141,black,4
1811,100,yellow,4
2336,139,red,4
2215,125,black,4
1528,165,red,4
2404,127,black,4
1699,112,green,4
2940,87,red,4
1332,111,white,2
1317,162,green,4
2490,160,yellow,4
2629,162,yellow,4
1776,164,red,4
2566,141,yellow,4
2319,131,white,4
1666,148,yellow,4
2812,197,blue,4
2299,195,blue,4
2198,126,white,4
1237,181,red,2
1508,141,green,4
2766,114,red,4
2854,150,green,4
1265,198,green,2
1239,141,red,2
2445,86,red,4
1731,82,blue,4
2459,106,yellow,4
2268,157,black,4
1221,150,black,2
2645,89,white,4
1786,125,green,4
2972,90,yellow,4
2482,110,green,4
2519,128,white,4
2037,109,white,4
1208,187,red,2
2075,80,black,4
2385,143,white,4
2599,182,red,4
2286,174,white,4
1178,134,blue,2
2055,170,green,4
1822,131,blue,4
1811,149,white,4
2567,175,black,4
1666,127,red,4
2363,189,yellow,4
1681,87,black,4
1937,112,black,4
2947,170,red,4
1682,147,white,4
2086,176,black,4
2345,190,yellow,4
1296,198,red,2
2679,82,black,4
2350,168,blue,4
2438,105,green,4
1702,87,yellow,4
2317,137,red,4
1743,114,green,4
2519,177,red,4
1070,134,green,2
1728,137,black,4
1372,159,blue,4
1950,199,yellow,4
1470,107,yellow,4
2693,128,black,4
1827,102,blue,4
2539,130,red,4
2072,185,black,4
2176,145,blue,4
1914,163,black,4
1292,129,blue,4
1929,91,blue,4
1908,171,blue,4
1645,109,yellow,4
2393,194,yellow,4
2262,130,white,4
2883,142,red,4
2336,95,yellow,4
1969,124,green,4
1088,118,black,4
1425,99,black,4
2948,194,yellow,4
2757,99,yellow,4
2594,163,blue,4
1536,147,black,4
2048,134,black,4
1890,195,yellow,4
1607,93,red,4
2729,134,black,4
2046,185,green,4
1835,194,red,4
1313,106,green,4
2840,200,black,4
2397,99,yellow,4
2958,184,black,4
2448,83,blue,4
1538,141,white,4
1829,143,black,4
2201,118,black,4
1438,168,blue,4
2293,102,red,4
1558,87,black,4
1936,144,white,4
2078,92,blue,4
1432,163,red,4
2470,164,yellow,4
1229,131,red,2
1879,157,green,4
1349,139,black,4
2413,94,green,4
2251,99,white,4
2115,180,yellow,4
1380,90,green,2
1361,152,blue,2
1646,106,yellow,4
2203,137,red,4
2738,158,blue,4
1897,173,green,4
1103,154,yellow,4
1036,193,red,2
2546,118,yellow,4
2105,181,blue,4
2126,196,yellow,4
2320,91,red,4
2373,114,black,4
2835,158,yellow,4
2628,183,red,4
2804,119,red,4
2378,150,red,4
2494,98,yellow,4
1045,105,green,2
1049,108,blue,2
2458,168,white,4
1496,170,green,2
1244,149,blue,4
1099,101,white,4
1604,115,black,4
2923,90,white,4
2403,166,yellow,4
1948,122,blue,4
2840,131,blue,4
1049,127,green,4
2677,112,green,4
1800,127,yellow,4
1014,139,red,2
1034,145,green,4
2689,92,white,4
2693,187,blue,4
1498,122,blue,2
1013,164,yellow,4
2778,101,yellow,4
1648,136,black,4
1224,89,blue,4
1998,129,red,4
2902,181,yellow,4
1649,173,black,4
1070,130,green,4
1924,88,white,4
2817,133,black,4
1466,93,red,4
2999,134,blue,4
2045,199,black,4
1265,168,green,2
2937,144,yellow,4
2163,101,blue,4
1494,183,black,4
1322,189,yellow,4
2706,133,white,4
2830,151,white,4
2230,86,black,4
1231,102,red,2
2094,186,blue,4
2087,118,blue,4
1254,86,blue,2
1793,172,black,4
1759,106,yellow,4
1751,146,blue,4
2686,192,blue,4
1072,98,yellow,2
2892,147,white,4
2247,153,green,4
2560,127,yellow,4
2475,153,blue,4
2210,136,red,4
2868,135,green,4
1342,102,green,2
2135,166,yellow,4
1099,154,white,4
1920,199,black,4
1174,133,white,4
2255,175,green,4
1765,186,red,4
1576,147,black,4
1441,83,red,2
1348,190,yellow,4
2059,133,black,4
1931,190,black,4
1041,154,red,2
2025,193,blue,4
1458,151,green,2
2412,180,blue,4
2228,96,blue,4
2545,80,green,4
1282,158,red,4
1199,149,white,2
2471,113,yellow,4
2740,129,blue,4
1745,198,red,4
2032,181,white,4
2006,122,white,4
1305,142,yellow,4
2209,166,yellow,4
1077,120,blue,2
1855,95,black,4
1710,99,red,4
1477,144,red,4
2929,164,red,4
2056,128,red,4
1986,137,red,4
1050,84,green,4
2472,80,white,4
2129,172,red,4
1710,186,blue,4
2471,197,yellow,4
2844,117,black,4
2251,164,black,4
1522,119,green,4
1339,101,black,2
1926,130,yellow,4
2474,178,white,4
2912,159,green,4
2214,80,green,4
2008,86,red,4
2714,156,green,4
2673,132,blue,4
2619,182,red,4
1829,87,white,4
2124,93,white,4
2599,191,yellow,4
1558,107,black,4
1860,118,blue,4
1286,97,white,2
1852,130,blue,4
1975,162,green,4
1468,159,red,2
1911,147,yellow,4
2406,136,green,4
2001,198,red,4
2904,177,black,4
1329,136,white,2
2664,91,white,4
1312,197,yellow,2
1876,119,red,4
1816,113,blue,4
2677,196,yellow,4
1389,191,green,4
2392,132,white,4
2365,89,yellow,4
1107,196,black,2
2538,174,red,4
1199,171,yellow,2
2057,141,yellow,4
2275,112,yellow,4
2983,135,black,4
1526,95,blue,4
1514,104,yellow,4
1314,127,blue,4
2327,93,red,4
2439,107,black,4
1360,134,black,4
2551,172,blue,4
2469,85,yellow,4
1415,112,blue,2
2881,104,yellow,4
1251,173,yellow,2
2002,192,green,4
2565,104,red,4
2585,167,yellow,4
2533,128,yellow,4
1390,161,black,4
1422,173,yellow,2
2198,86,red,4
1907,149,yellow,4
2200,98,white,4
1993,144,green,4
1348,189,white,2
1674,135,blue,4
1140,194,white,4
1704,123,yellow,4
2602,154,green,4
2481,110,green,4
2571,152,white,4
1620,188,green,4
1024,161,white,2
2032,104,white,4
2748,194,white,4
2350,83,green,4
2117,116,black,4
1068,195,green,2
1526,183,yellow,4
2533,172,black,4
1303,151,blue,2
1922,152,red,4
2475,89,yellow,4
2539,179,blue,4
1267,176,yellow,2
2028,83,blue,4
1355,107,yellow,2
1137,147,green,4
1515,114,red,4
2897,197,black,4
1000,195,white,2
2818,133,blue,4
2450,169,red,4
1657,174,black,4
1373,198,green,4
1983,90,red,4
1692,133,white,4
1885,143,yellow,4
2768,162,black,4
1328,85,blue,2
2299,83,black,4
2693,147,blue,4
1198,139,green,4
2225,195,red,4
2394,153,black,4
1054,152,white,2
1004,103,red,2
2599,163,black,4
1551,119,black,4
1647,170,white,4
2701,121,black,4
2772,165,green,4
1692,90,black,4
1186,124,blue,4
2906,149,black,4
1253,120,blue,4
2417,91,black,4
1265,140,red,4
2613,163,black,4
2792,172,yellow,4
1175,154,yellow,2
2654,192,black,4
2546,160,yellow,4
1674,150,black,4
1833,180,black,4
2491,108,green,4
1338,132,yellow,2
2658,94,blue,4
2172,129,green,4
1387,179,blue,2
1924,148,red,4
2613,157,yellow,4
1324,145,black,2
2596,153,black,4
1812,184,green,4
1719,92,blue,4
1584,150,blue,4
2300,107,green,4
2181,100,green,4
1590,95,red,4
2188,122,green,4
1304,81,green,4
2220,168,red,4
2457,123,green,4
1968,138,yellow,4
1304,196,green,2
1468,187,yellow,4
2678,127,white,4
2846,138,yellow,4
1940,110,white,4
1709,86,blue,4
2663,147,yellow,4
1405,125,red,2
2770,89,blue,4
1953,179,white,4
1111,107,white,2
1757,198,green,4
1333,140,green,2
1884,149,black,4
2522,182,black,4
2619,133,blue,4
1706,197,red,4
2971,197,blue,4
2558,132,blue,4
1072,128,white,2
2035,195,green,4
1905,106,white,4
1538,131,yellow,4
2797,90,white,4
2225,172,green,4
1341,173,white,2
2138,191,blue,4
2573,108,blue,4
2227,194,white,4
2418,176,yellow,4
1469,165,white,2
2455,192,black,4
2602,174,blue,4
2035,138,white,4
1852,175,green,4
1165,164,blue,4
2547,151,white,4
2682,95,yellow,4
2873,182,white,4
1217,162,green,2
1849,109,blue,4
2580,140,red,4
2100,98,green,4
2077,109,red,4
1227,179,red,4
1827,118,red,4
2524,120,red,4
1327,161,green,4
1521,198,green,4
2863,136,green,4
1370,167,yellow,4
1429,138,red,4
1677,126,red,4
2534,178,white,4
2995,184,black,4
2064,149,red,4
1949,181,black,4
1752,97,red,4
2632,150,yellow,4
1320,162,black,4
2575,153,black,4
2566,94,white,4
2528,141,yellow,4
2861,115,yellow,4
2436,149,yellow,4
2066,140,green,4
1187,88,blue,2
1450,145,blue,4
2631,199,white,4
2650,136,green,4
1843,158,black,4
1725,194,green,4
1864,188,red,4
2558,117,white,4
2406,101,green,4
1871,170,white,4
1621,175,blue,4
2975,116,yellow,4
1630,160,blue,4
1663,122,yellow,4
2238,135,red,4
2535,111,red,4
1052,188,yellow,2
1166,82,white,4
2031,168,blue,4
2917,118,red,4
2177,136,green,4
2439,87,green,4
1466,132,red,2
1822,144,white,4
1896,128,blue,4
2117,187,red,4
2027,157,white,4
1068,149,green,2
2129,200,green,4
1523,115,black,4
1698,92,white,4
2620,197,green,4
1425,107,green,2
2887,89,red,4
2798,89,blue,4
2856,197,black,4
1335,142,blue,2
1313,171,yellow,2
2968,92,green,4
1369,93,blue,4
2674,156,red,4
1999,84,blue,4
2683,95,black,4
2906,171,red,4
1093,84,black,4
2092,152,blue,4
1458,188,green,2
2036,114,yellow,4
2620,88,blue,4
2217,183,green,4
1362,177,red,4
1546,142,white,4
2038,139,white,4
2900,111,blue,4
1926,131,green,4
1533,89,red,4
2019,95,green,4
2105,193,white,4
2302,136,white,4
2157,162,green,4
2711,151,blue,4
1586,116,red,4
2921,96,green,4
2487,171,green,4
2423,191,black,4
1570,144,yellow,4
2428,86,yellow,4
2875,191,white,4
1969,190,black,4
2253,167,black,4
2488,177,yellow,4
2048,157,black,4
1487,162,blue,2
2946,193,yellow,4
1199,178,blue,4
2931,81,yellow,4
1989,95,green,4
2529,98,green,4
1060,139,yellow,4
1850,85,green,4
2969,182,white,4
2204,161,green,4
1642,95,white,4
1675,172,green,4
2373,172,red,4
1251,160,blue,2
1002,144,red,4
2199,105,green,4
1062,112,black,4
2180,180,yellow,4
1897,80,yellow,4
1911,116,blue,4
1211,92,green,4
1837,191,red,4
2484,84,blue,4
2549,172,white,4
2759,80,green,4
2439,88,red,4
1204,126,black,2
2414,124,blue,4
2181,187,blue,4
1927,159,white,4
2635,126,blue,4
1901,165,green,4
1279,176,red,2
2893,98,black,4
1701,105,white,4
1876,139,white,4
2462,132,blue,4
2240,125,white,4
1326,163,white,2
1843,133,yellow,4
1207,193,black,4
2537,110,black,4
1086,196,white,2
2618,124,yellow,4
1520,199,red,4
1292,161,white,4
2229,200,blue,4
1046,128,green,4
2103,154,yellow,4
1382,188,blue,4
1169,150,yellow,4
1641,182,white,4
1480,137,blue,2
2627,117,black,4
1147,143,white,4
2070,175,blue,4
1129,197,blue,4
2207,140,yellow,4
1706,177,yellow,4
2635,135,blue,4
1820,90,blue,4
2541,140,black,4
2833,109,blue,4
2113,84,black,4
2402,103,green,4
1626,125,green,4
1122,184,black,4
2313,135,red,4
1808,178,red,4
1929,95,red,4
2191,90,red,4
2755,98,blue,4
2890,116,green,4
1743,107,white,4
2077,128,green,4
1410,101,blue,4
2735,194,green,4
1044,189,green,4
1304,115,white,2
2269,148,black,4
1248,170,black,2
2922,176,white,4
1764,145,black,4
1603,180,green,4
2158,176,red,4
2435,128,white,4
2880,141,green,4
1532,164,blue,4
1090,91,white,2
1173,152,yellow,4
1032,199,yellow,2
2145,145,white,4
2695,82,green,4
2162,179,blue,4
1208,191,red,2
2383,95,blue,4
2498,185,green,4
2178,177,red,4
2646,187,blue,4
1725,171,green,4
1026,196,red,4
2650,147,red,4
1522,93,red,4
1579,149,white,4
2977,147,blue,4
2266,98,green,4
2958,194,yellow,4
1935,183,red,4
1737,126,black,4
2030,94,green,4
1433,115,yellow,4
2032,129,green,4
1274,200,green,4
2148,142,yellow,4
1096,151,yellow,4
1292,147,green,4
1781,124,blue,4
2027,97,blue,4
2330,174,black,4
2130,182,red,4
1186,118,blue,4
2737,186,yellow,4
1152,173,white,4
2497,110,green,4
1199,125,red,4
2824,128,red,4
2946,140,blue,4
1623,83,green,4
1828,102,green,4
2219,88,blue,4
2433,139,red,4
2192,148,yellow,4
2039,83,black,4
2109,97,white,4
1849,163,blue,4
1474,86,blue,2
1599,152,yellow,4
1660,126,red,4
2849,88,blue,4
1360,194,black,2
1181,175,red,4
2573,157,red,4
2370,104,blue,4
2662,106,white,4
2346,194,blue,4
1318,156,red,2
1602,80,yellow,4
1934,126,black,4
1735,154,blue,4
2873,131,red,4
2500,143,black,4
1869,106,red,4
1967,165,green,4
2466,93,black,4
1302,171,black,2
2376,101,white,4
1937,106,yellow,4
2485,123,yellow,4
2165,125,black,4
2022,188,black,4
1924,185,blue,4
2834,82,red,4
2120,191,white,4
1349,107,green,4
2943,142,green,4
1524,90,blue,4
2093,200,green,4
1596,155,white,4
1953,191,yellow,4
2236,122,green,4
2453,116,white,4
1789,180,blue,4
1114,100,white,2
2337,140,white,4
2083,123,white,4
1168,149,red,4
2711,98,green,4
1337,98,yellow,2
1914,188,yellow,4
2081,157,red,4
1819,130,red,4
1681,111,yellow,4
2817,157,yellow,4
2566,165,yellow,4
2868,116,white,4
1403,98,blue,4
2231,141,white,4
2122,149,red,4
1292,190,black,4
2027,97,white,4
2306,164,red,4
2962,84,red,4
1202,155,red,2
2493,118,black,4
1813,144,black,4
2636,188,white,4
2212,105,white,4
2535,163,yellow,4
1643,87,white,4
1056,181,white,2
2452,138,blue,4
1542,89,red,4
2222,90,blue,4
2701,195,white,4
1024,121,black,4
1817,125,white,4
1493,193,red,2
2291,200,yellow,4
1185,96,yellow,4
2906,147,blue,4
2361,137,green,4
1838,158,black,4
2321,110,yellow,4
1863,96,red,4
1219,117,red,4
1429,91,black,2
1830,152,yellow,4
2045,171,blue,4
2276,151,white,4
1241,182,green,2
1664,100,black,4
1828,194,black,4
1416,133,white,4
1544,152,black,4
1755,167,blue,4
1180,87,white,2
1744,158,black,4
1872,164,black,4
2129,199,yellow,4
2105,149,red,4
1428,130,green,2
1905,175,red,4
2461,195,black,4
2472,96,green,4
2584,89,red,4
1613,154,blue,4
2133,150,black,4
1659,102,red,4
3000,157,blue,4
2594,97,green,4
2994,127,red,4
2007,135,blue,4
1065,143,yellow,4
1699,170,green,4
2987,194,green,4
2034,159,red,4
1035,102,blue,2
2131,199,green,4
1851,182,blue,4
2992,94,white,4
2010,189,red,4
1570,147,green,4
1803,94,yellow,4
1617,155,blue,4
1050,117,white,2
2843,191,blue,4
1094,98,white,4
2336,188,green,4
2697,137,white,4
1061,90,red,2
1965,185,black,4
2048,194,yellow,4
2296,164,yellow,4
1472,163,blue,2
1680,141,green,4
2298,113,white,4
2003,95,white,4
1006,177,yellow,2
1611,108,black,4
1965,125,black,4
1544,126,red,4
2548,149,white,4
1489,100,yellow,2
2960,157,blue,4
2028,103,black,4
1554,82,blue,4
2538,110,yellow,4
1741,96,red,4
1295,161,white,2
1759,153,red,4
1022,86,yellow,2
1431,186,green,4
2605,141,blue,4
1515,164,white,4
2107,107,white,4
1830,80,red,4
2586,165,red,4
2179,191,blue,4
1862,83,red,4
1825,115,red,4
1930,95,blue,4
1981,142,black,4
2688,96,white,4
2674,150,red,4
2132,132,black,4
2813,166,green,4
2633,168,red,4
2492,146,black,4
2660,105,blue,4
2394,188,green,4
1095,90,blue,2
2353,85,black,4
2365,120,black,4
2876,81,white,4
1220,135,green,4
1580,88,black,4
2706,123,black,4
1950,118,yellow,4
1073,172,green,4
1108,181,yellow,4
1283,137,yellow,4
1201,154,red,4
2038,80,blue,4
1631,121,white,4
2235,166,yellow,4
2956,173,green,4
1336,112,yellow,4
2403,81,white,4
1141,138,blue,2
2521,199,white,4
2189,115,yellow,4
1733,103,white,4
1711,99,white,4
2533,163,blue,4
2443,109,green,4
2689,97,green,4
2326,165,black,4
1968,125,yellow,4
2301,151,white,4
2312,192,white,4
1031,126,blue,2
1924,116,green,4
2815,178,yellow,4
2755,148,yellow,4
1492,109,blue,4
1001,197,yellow,2
1923,86,blue,4
2345,181,white,4
1182,136,yellow,4
2230,158,blue,4
1918,94,white,4
1231,107,blue,2
1984,105,blue,4
1930,166,green,4
2759,106,yellow,4
1116,135,green,4
1977,112,yellow,4
2996,150,red,4
1520,141,red,4
2108,141,black,4
2635,160,green,4
1599,116,white,4
1176,86,red,2
1135,197,green,2
2170,113,black,4
2247,119,red,4
2339,160,white,4
2587,119,green,4
1915,141,green,4
1020,191,red,2
1542,116,red,4
2036,86,blue,4
1312,85,yellow,2
1713,89,white,4
1748,130,black,4
2403,197,red,4
1543,158,blue,4
1280,112,white,4
1657,149,black,4
2417,89,red,4
1974,176,yellow,4
2426,99,white,4
2349,161,red,4
2564,192,yellow,4
2271,94,black,4
2196,165,white,4
2199,191,black,4
1896,86,blue,4
2414,198,white,4
2667,99,yellow,4
1059,168,yellow,2
1806,101,red,4
2634,187,blue,4
2496,95,yellow,4
2066,157,yellow,4
1175,179,green,4
1301,140,green,4
2867,122,red,4
2804,183,yellow,4
2856,186,red,4
1746,90,white,4
1177,160,blue,2
1983,94,blue,4
2187,94,white,4
1499,117,green,4
2167,192,green,4
2248,97,black,4
1243,130,red,4
1594,178,red,4
2655,135,yellow,4
2877,180,black,4
1488,165,white,2
1254,161,red,2
1930,94,white,4
1637,155,green,4
1017,116,blue,4
1315,143,blue,4
1856,88,blue,4
2999,181,blue,4
1368,156,yellow,4
2415,84,red,4
2314,109,green,4
1701,190,red,4
2013,101,blue,4
1058,82,red,2
1517,162,yellow,4
1153,155,yellow,2
